supplier_id,supplier_name,supplier_region,purchase_orders,ordered_quantity,received_quantity,defect_quantity,fulfillment_rate,defect_rate,avg_lead_time,on_time_rate,supplier_score,performance_category
S001,Prime Distribution 1,West,389,31959,30805,500,0.963891235645671,0.016231131309852296,5.889175257731959,0.8685567010309279,90.18371159258707,Excellent
S002,BluePeak Distributors 2,South,386,29878,27413,1836,0.9174978244862441,0.06697552256228796,27.468911917098445,0.8005181347150259,73.03720064070829,Good
S003,Swift Supply 3,Central,374,33371,31727,896,0.9507356686943753,0.02824093043779746,22.79088471849866,0.8310991957104558,78.38300177632836,Good
S004,Apex Components 4,East,383,29559,26339,2631,0.8910653269731723,0.09988989711074832,19.12793733681462,0.8328981723237598,78.01089285143871,Good
S005,Swift Supply 5,Central,399,31083,29677,706,0.9547662709519673,0.023789466590288775,19.96212121212121,0.8535353535353535,81.08705820809077,Good
S006,Global Goods 6,North,362,31298,29513,1113,0.942967601763691,0.03771219462609698,7.944598337950138,0.8919667590027701,89.08383138205747,Excellent
S007,Prime Distribution 7,North,382,31876,27702,3439,0.8690550884678128,0.12414266117969822,30.61578947368421,0.8289473684210527,70.28239628067816,Good
S008,Evergreen Supply 8,South,372,31314,29254,1375,0.9342147282365715,0.04700211936829152,13.81891891891892,0.8162162162162162,82.29187585049782,Good
S009,BluePeak Distributors 9,South,349,28282,26423,1207,0.9342691464535747,0.04567990008704538,19.41907514450867,0.8526011560693642,80.52356338931848,Good
S010,Global Goods 10,North,423,35061,31440,2830,0.8967228544536665,0.09001272264631044,27.67612293144208,0.8156028368794326,72.65559200187195,Good
S011,Prime Distribution 11,East,352,26857,25981,280,0.9673828052276874,0.010777106346945845,13.507122507122507,0.8632478632478633,85.72638334061755,Excellent
S012,Alpha Supply Co 12,North,360,29315,27506,1219,0.9382909773153676,0.04431760343197848,31.81111111111111,0.8583333333333333,73.69350162160735,Good
S013,Reliable Source 13,North,359,29085,27825,637,0.9566787003610109,0.02289308176100629,29.669467787114847,0.8627450980392157,75.89196752077349,Good
S014,BluePeak Distributors 14,South,358,28339,25835,1865,0.9116412011715304,0.07218889103928779,9.584269662921349,0.8314606741573034,84.4132012260162,Good
S015,BluePeak Distributors 15,East,363,29306,25478,3185,0.8693782843103801,0.12500981238715755,17.506887052341597,0.8099173553719008,77.11197207182289,Good
S016,Omni Wholesale 16,South,389,34163,30903,2505,0.9045751251353804,0.08106009125327639,16.971502590673577,0.8212435233160622,79.41440395044752,Good
S017,Reliable Source 17,South,387,32183,29758,1658,0.9246496597582574,0.055716109953625914,25.93798449612403,0.8268733850129198,75.32616444199088,Good
S018,Swift Supply 18,North,373,29558,25937,2977,0.8774950943906895,0.11477811620464973,23.394101876675602,0.8123324396782842,74.15373670445102,Good
S019,Urban Trade Hub 19,West,371,30698,28571,1469,0.9307120985080461,0.05141577123656855,17.951219512195124,0.8455284552845529,80.91621206453254,Good
S020,Nexus Traders 20,South,387,31286,27952,2671,0.8934347631528479,0.09555666857469948,12.477922077922077,0.8285714285714286,81.81528204298742,Good
S021,Urban Trade Hub 21,North,359,29875,26461,2782,0.8857238493723849,0.10513586032273912,8.072423398328691,0.8133704735376045,83.42346537300811,Good
S022,Vertex Wholesale 22,Central,398,35006,32789,1446,0.9366679997714678,0.04410015553996767,15.190954773869347,0.8517587939698492,83.02344017786065,Good
S023,Prime Distribution 23,West,399,32841,29583,2493,0.9007947382844615,0.084271372071798,12.577889447236181,0.8291457286432161,82.13360868467173,Good
S024,BluePeak Distributors 24,West,392,31735,28607,2433,0.9014337482275091,0.0850491138532527,34.51662404092072,0.8388746803069054,69.81509421016516,Needs Improvement
